Rank,Sender Address,Funders Funded,Creators Funded,Total Tokens Launched,SOL Sent,Tokens Created,% of Total Tokens
1,RBHdGVfDfMjfU6iUfCb1LczMJcQLx7hGnxbzRsoDNvx,1,2,6,44358.54,6,0.3507%
2,E9H1cxZcnajU3SeK2AQVTBpUTv1tLoBQcaaiEhkhwMsH,1,1,8,12426.48,8,0.4676%
3,9MBEPB4QFfCSKwaR3azaFp4BTv43yqsT8MBoKtd3EXJw,1,1,3,9956.51,3,0.1753%
4,AxiomRXZAq1Jgjj9pHmNqVP7Lhu67wLXZJZbaK87TTSk,1,84,166,8137.47,166,9.7019%
5,7VRkaYrE5W92PBGEPKVcT2VNFyWDHc6G3oToHqYaD9f7,1,1,1,7953.71,1,0.0584%
6,8CpKY6vNKCixXqbwM14kAbN7eEa5X7YatVv9rVpSNpDB,1,1,8,7744.00,8,0.4676%
7,5tzFkiKscXHK5ZXCGbXZxdw7gTjjD1mBwuoFbhUvuAi9,1,168,219,5826.19,219,12.7995%
8,D89hHJT5Aqyx1trP6EnGY9jJUB3whgnq3aUvvCqedvzf,1,23,32,5667.65,32,1.8703%
9,GjLes4MDpKLkv2nw7WPyoJC5iXnwCJUmDh2jTJ7ottu2,1,1,3,5239.36,3,0.1753%
10,AxJv49w5sKNmLW8rFAMDz5FYUbHo2PVZK3Hrkyq4ZHdz,1,1,23,4347.00,23,1.3442%
11,Dx3rBeWDgNkvV9F9BR7MY9xtxuCPt5h8JcVeC4k9EHje,1,1,13,3659.62,13,0.7598%
12,6X1HYZitT1gJKSqYHPagHsg4qtUNFi9EUErcpBfXqDFS,1,1,13,3542.00,13,0.7598%
13,9SLPTL41SPsYkgdsMzdfJsxymEANKr5bYoBsQzJyKpKS,1,3,10,3249.91,10,0.5845%
14,DPqsobysNf5iA9w7zrQM8HLzCKZEDMkZsWbiidsAt1xo,1,22,32,3067.71,32,1.8703%
15,B5MBPFKt6XBSbpJJfrhKsz4J6qVw6AhtSkEfC257Ume5,1,1,8,2683.63,8,0.4676%
16,2snHHreXbpJ7UwZxPe37gnUNf7Wx7wv6UKDSR2JckKuS,1,20,37,2620.04,37,2.1625%
17,2Vu9ayKP5mvisKazkX7qmyB11C7ftw8xJG31HXGYCQwG,1,1,1,2555.13,1,0.0584%
18,DKt3tRS1kqAxGQDKh1crSB1wXQBhuSWj7atkzxmKoLAa,1,1,8,2378.25,8,0.4676%
19,3Rw35KiP9aV9t89HTWsUi6UddoMKeMbfLeKRB9FQZ1ym,1,1,4,2304.00,4,0.2338%
20,ARPHy8aAK1ZQTJr93SAZDDWbBx5sXJfjxaLxfvFud8Y3,1,1,2,1700.00,2,0.1169%
21,96PHuhkCpkVnH7jiJMTrbSJD9mkM4VUMpviTCRKPFzmC,1,1,13,1674.72,13,0.7598%
22,H7gTsQg5xixgBuL3wGxDYVgH8C3rs9rDv2yzBYVVw4tY,1,1,7,1540.00,7,0.4091%
23,CNmwTcYqR8R876KVKSH9TYp8oxbMXGxeK3e1YpT7VgMN,1,1,8,1531.20,8,0.4676%
24,8zq11Hh8D2Gap4yN5affaosxaV9g1zuDkGso9ue1YXwH,1,1,3,1450.19,3,0.1753%
25,H8sMJSCQxfKiFTCfDR3DUMLPwcRbM61LGFJ8N4dK3WjS,1,21,29,1438.37,29,1.6949%
26,2GX1MiVEB57eEbh9Q5gqbvfZtq7TjJzv8ChAXBueYhfo,1,1,1,1323.21,1,0.0584%
27,5g7yNHyGLJ7fiQ9SN9mf47opDnMjc585kqXWt6d7aBWs,1,21,30,1302.21,30,1.7534%
28,5cmtb1xdWFg4PzCCC27PToR1frgWByzL6ffZ1hzH4bKg,1,1,3,1235.70,3,0.1753%
29,Fq7jozd5scjoqNx844eRnRqiAfW5fQaRZVPSFFwVwzto,1,1,8,1223.66,8,0.4676%
30,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm,1,24,36,1213.70,36,2.1040%
31,G2YxRa6wt1qePMwfJzdXZG62ej4qaTC7YURzuh2Lwd3t,1,76,112,1068.61,112,6.5459%
32,7741ShmAjpv3zYoFQoByj2Dxn9vBJPpcWP2HxyXmbvqg,1,1,3,1064.80,3,0.1753%
33,DYBKMmouejdRPvYzrSD3DkTtBT2AarUho3NpirgMQkXe,1,1,2,1041.93,2,0.1169%
34,CUkXcfgLsQcpCZNQzo9yGUEZ4PE2PVjuy8sTpu6aH3mV,1,1,3,1033.86,3,0.1753%
35,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,1,37,43,920.35,43,2.5132%
36,C29NGFYuXttzz4q5qy4Zq8qdJkyxKd6NVePzNTtnJpMf,1,2,3,900.90,3,0.1753%
37,YWH6nCyHqcKNsdX7NdpdLcVHCJ7ZAqnPJ8Aw241JRM7,1,1,3,867.60,3,0.1753%
38,GJRs4FwHtemZ5ZE9x3FNvJ8TMwitKTh21yxdRPqn7npE,1,23,35,812.39,35,2.0456%
39,AuPp4YTMTyqxYXQnHc5KUc6pUuCSsHQpBJhgnD45yqrf,1,1,1,811.00,1,0.0584%
40,9obNtb5GyUegcs3a1CbBkLuc5hEWynWfJC6gjz5uWQkE,1,17,27,809.73,27,1.5780%
41,iGdFcQoyR2MwbXMHQskhmNsqddZ6rinsipHc4TNSdwu,1,75,79,799.24,79,4.6172%
42,UvcpMqTWyhnuS4xBxKGosJis3q1AYwVgQKtfuGqihwW,1,1,13,780.00,13,0.7598%
43,4Fri9bFmQgLkxKg6SX4deojST8mL1qp2sNMKti5Ymrqk,1,1,7,778.43,7,0.4091%
44,5Nky6uHEpufa3TWYnBeq2wdAoj5AJzcuQno5bFGqvRGi,1,1,6,764.87,6,0.3507%
45,FGZgRpB6oKWNKgaATmUwydBGUJBebxata6DUf8yRvY69,1,1,3,732.25,3,0.1753%
46,As7HjL7dzzvbRbaD3WCun47robib2kmAKRXMvjHkSMB5,1,1,2,728.88,2,0.1169%
47,4NyK1AdJBNbgaJ9EsKz3J4rfeHsuYdjkTPg3JaNdLeFw,1,15,27,692.90,27,1.5780%
48,nq1LqR12eykT9SQKmzVZJ7S5NXAaHe8a42gEMaZuvuA,1,1,13,650.00,13,0.7598%
49,Cr34H1JMeSB9DmAr8VPpbJFhkSXkLAi4SmBKFBumTMy7,1,1,13,627.57,13,0.7598%
50,HBkgq2seuoq7kmZ4KNfyWXWFVCrZ5MZ2HZQSDg2Pnjvq,1,1,1,625.56,1,0.0584%
51,2Wuh4VKiQxpjuHHPnxSpdHhocs9dFZoFJfqiF5HiLjhB,1,1,3,621.26,3,0.1753%
52,CPXNNkimHFkzFSsJ2ttw21AsTSpxL8Dam5USMEW622ot,1,1,8,608.15,8,0.4676%
53,6LY1JzAFVZsP2a2xKrtU6znQMQ5h4i7tocWdgrkZzkzF,1,23,37,600.52,37,2.1625%
54,D9MnvLYoiXsVVSwY9H44eibQsAe3dE9oE6LNzDUTEscL,1,1,7,585.67,7,0.4091%
55,Dv32u9mvSXGVNshf7xM7afuMoPRifQxzuzEjfmfMysZY,1,2,2,580.19,2,0.1169%
56,FH9po1HZiqtDbL7TBuXgvKdQoxn68BNmycuKMPYmhiJA,1,1,5,572.83,5,0.2922%
57,GZzLJMHcRn7jf3obhgpPFRH2hX35pXVqd2oZ8Qn4A8t1,1,1,3,567.06,3,0.1753%
58,5pa25PLxW4qG8bYKMLPT7zptF3864H1uXE2v9zNvVP2m,1,1,2,563.59,2,0.1169%
59,2oMrFpE5iT59sef91gqMk6U3YSAvgBem8XpcpGYTHXbN,1,1,3,538.27,3,0.1753%
60,5ndLnEYqSFiA5yUFHo6LVZ1eWc6Rhh11K5CfJNkoHEPs,1,14,38,536.32,38,2.2209%
61,2iHzmZQ1ePCiAmhG2UVruoLd3BXMEbwV11DYYgFRboMU,1,1,8,519.44,8,0.4676%
62,ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,1,45,51,515.89,51,2.9807%
63,AwwLJhVHbigm3AuGwbrUiSX5KzvtgmP1fRZCYQ1nczZq,1,1,3,506.01,3,0.1753%
64,E9daANqRivjnTDtqepqu3f26hjqB9eqk7Y4BMyYcYtHd,1,1,8,492.10,8,0.4676%
65,3UthmoD2u2tRQtDtEK2EtzxDM7M96iawmFxFasWSYaBQ,1,1,3,486.98,3,0.1753%
66,6ymDcnNqKi8g28RFY5NtqTm5sDaNixZajBdN4zk8vvxS,1,1,8,486.74,8,0.4676%
67,BiEDWuFznJXjw8ngfPPrQQyKHonTe4Y3DDqWdjPLtcZB,1,1,2,481.80,2,0.1169%
68,Di45LoeGsbTCrujHQWP4zT95C69XW8rZU3U7Ztg1JqQL,1,1,23,465.54,23,1.3442%
69,7Nt5HFpWzDfcvQLRmdRPkvDdq68n821wP1AGaWyqiAL6,1,1,8,446.45,8,0.4676%
70,2JarGaaVhqcV2FbsxQPLagFpPi4qh3SuKt7adYk299hr,1,1,5,445.58,5,0.2922%
71,7nGczrHeY82uobt3bxLPy3nzg1bjoPCFs7m4mZyop2XA,1,1,19,444.60,19,1.1105%
72,A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,1,7,7,441.19,7,0.4091%
73,5Bn5nMngyBc788VK6eGbwB8UvTcHrsBFaDoc2NRKrE2G,1,1,3,431.91,3,0.1753%
74,99EZJ8uAxkcPkYuAktQ57sH67jm6Qmk7bJabaDnHfPBC,1,1,2,431.40,2,0.1169%
75,2o5HWArUSPJatUygv4RfHNkn5wzecmj9GXhBTWE34cFZ,1,1,3,430.53,3,0.1753%
76,BuWBh8G6AUu1N6CaHyrMNvn9dVVg24CAH1vAuSE36NWu,1,1,5,424.80,5,0.2922%
77,5265FEFwZyH6V2U8wPy7xXRsyW4RivBFovkpDnSgs8St,1,1,1,416.22,1,0.0584%
78,74fdfSXF7joPjconzu7UweqoWLBJTQbwbYjRCZmXujrj,1,1,3,406.34,3,0.1753%
79,A67FPdFQQEP53MCu71QjMG589ev4YVE1fPFbvwMrmJZz,1,1,1,394.70,1,0.0584%
80,Gr5VFp64qC9bKpkNcPxteCCLxUHZACUNmqV6RF44AeJu,1,1,3,391.54,3,0.1753%
81,G7mfcf5GbZezcBKqcDo5u16TSLARTVxTRSjXxDYbVnaq,1,1,1,391.00,1,0.0584%
82,HxhMTh4Nmvbf6J3VnnNy6VLrFkZSnaYS8NukaCAPgnrx,1,1,2,379.67,2,0.1169%
83,8u8XFnVc8f3rgdeyPHVtMkVHqfsLtSzNiGNyeTSmeRq7,1,1,2,374.00,2,0.1169%
84,BtSEbACppVjwRRobKfUyJYgzjyqBhK1neSMw9FXRdgCa,1,1,3,373.10,3,0.1753%
85,F58LFGbv7wCEbsMkHZZqRmESc5KVVsp7A8iLCb4U7zdr,1,1,8,372.84,8,0.4676%
86,3WJHx8x5sXfn1kMe6GfDYgibccREaEqDSnMcjgZHiXTu,1,1,13,371.09,13,0.7598%
87,HNEFm6TdSr7JqPms6MRAxumocVTNA93byPYcphVYj9WR,1,1,7,370.68,7,0.4091%
88,HjuvLWkeoRVuiDCVjZeWrj3cYzG2KV9CExqEJqJQJqJA,1,5,5,364.90,5,0.2922%
89,JAsZu3qhv47XFJa91NyMGvpVj1B3GkCfQZR9yYCzkJNw,1,1,7,360.38,7,0.4091%
90,63ctZTuWzNZuYDr2w3Q5uKyjUjTh6eYPZQem7TbaW17N,1,1,8,359.62,8,0.4676%
91,DGNszy5kpSY1s3QovWT3tvmGNFxRpijvCJTqTWVzv1eQ,1,1,8,358.33,8,0.4676%
92,Fw5W9wUBcS1XT8pQWk4FWnmxS3skLgXcvCoWR5m1tHe6,1,1,1,356.92,1,0.0584%
93,5G9FRtcU9THTCKmXFUMBm6RvDZZcRmVP9qqFn3roVsbA,1,1,1,350.00,1,0.0584%
94,8J3vEng9upTDpUAHo69XBJ6uv35zGKPjnrET9kWJzRPq,1,1,3,349.80,3,0.1753%
95,F3YbbkW2RvMLpogT5bhEoeCzUHodSnJv8oUMPh8J3d4t,1,1,3,348.54,3,0.1753%
96,88NpxRo5tvLVsaXj5DcboKduuDrBnHMHEim8nHm2RCNX,1,1,3,347.72,3,0.1753%
97,E5TSnsdc31b3FP5fdx3EMUXLiKGeXt3fei2uYMYuCrD1,1,1,1,340.21,1,0.0584%
98,MH6t85c2q9RvjKGpgAyEUBGbhMh8V7xBXhc5nsgtZGS,1,1,3,332.75,3,0.1753%
99,GECngweuz1D94A6fuR2cT35oe4fJs1bGYLERTeu7G2LT,1,1,1,327.02,1,0.0584%
100,FpwQQhQQoEaVu3WU2qZMfF1hx48YyfwsLoRgXG83E99Q,1,22,34,322.40,34,1.9871%
101,aKHhmPWq3XUTfLXCDopiSmn4xpkY8xzNcwk5wGSwSf9,1,1,5,321.18,5,0.2922%
102,3kGaUKSo1Vhr8fQiCyf18hFTCahD99h1sRVwFWCqK6H8,1,2,2,321.12,2,0.1169%
103,FM2hqpA9zjRP6tdFd6QxPexPbs96aZGvWiCQf1ks77YK,1,1,1,311.26,1,0.0584%
104,4ieeohETBz2hhd4yRwDqC9tRsDHBqr6AFFYMoGdGCT4w,1,1,1,307.02,1,0.0584%
105,ECk5Qm7SiqHShyhibFkctJoRFa3ic8u44MUmaeWSW86g,1,1,3,305.35,3,0.1753%
106,EX32YX1wmHHQy5uAvifqTFiRf7deJgFWdndMzt2fJa5L,1,1,1,300.00,1,0.0584%
107,GGGcMocmCvx5Rz4madMxz84dfX6TyyPWgbfTDSWFpzKg,1,1,2,294.25,2,0.1169%
108,7Np5tf39tpvFSzWnGpwa54NeFkocGdr8DzWVHLktGZGp,1,1,1,287.66,1,0.0584%
109,o4YH3596NRhrGKw2LgAdmPzBnb5vo9tkrbwkRQVJ7hy,1,1,4,285.28,4,0.2338%
110,BHREKFkPQgAtDs8Vb1UfLkUpjG6ScidTjHaCWFuG2AtX,1,1,2,281.99,2,0.1169%
111,Hri7LYHjdMAhGvkMp6g3vzGoXzSySH4pm83s1rJiN6SN,1,1,8,276.47,8,0.4676%
112,Fzg7Rmn5BrN3c4SCn1bQPDe3ZjuA3VBnUu1PVuyPiHZZ,1,1,3,275.31,3,0.1753%
113,CYjzwJDsCb486XtAd5S4VgNxDNMGokQEx4ydPVXSFseK,1,1,3,274.37,3,0.1753%
114,Cc3bpPzUvgAzdW9Nv7dUQ8cpap8Xa7ujJgLdpqGrTCu6,1,9,10,273.05,10,0.5845%
115,7fRxA85K2HfTjDYaWznbyKHr46wAm6D11eisqKRgSk6U,1,1,1,272.79,1,0.0584%
116,4toiNcmvGmzccieJBa1MGqZTrwk7dYfJTmSGkJuVkfFw,1,1,2,270.20,2,0.1169%
117,HGi16gCRc5sgpgRL87AM5GsnyX9foD16S3X3rnoXtN4d,1,1,3,267.00,3,0.1753%
118,A5VGAe2ifEzVpivXAFsRJrp2ps2BySNurQ7552bVU7Nq,1,1,3,265.88,3,0.1753%
119,48SUwTctkVm7AmstS7E9qAk2vH4Xx4sch5AVFMuQJSnT,1,1,6,261.66,6,0.3507%
120,A8JequivNh16Rbh2nQ3AQUPsiY81iyKro86FBQWeEgKh,1,1,2,261.14,2,0.1169%
121,rMuykwFqDWTTVikueKYcx9GsSoxyPwvCREQj3kM1GVZ,1,1,1,260.00,1,0.0584%
122,2Micro9qwqRCWKnaam7myLN4WspkC5Dj7M2CVpG2qeA7,1,1,3,254.76,3,0.1753%
123,EntAp9FqkEN9EFafDnbQee4Rnrvg1TkSjdss5J39xd6z,1,1,3,252.22,3,0.1753%
124,Bj1UMrX87sz8VEmo3X1hLVgQEQwT4HNqykEFNkPgEVvg,1,1,8,249.92,8,0.4676%
125,2n2wbmzxsgFgVutwMxB79zRsZ5UT2K82yyYk9KYVLpUq,1,1,1,248.75,1,0.0584%
126,8a2iRDFS88YuxXxJXZj1H6WZ17NNQTZ8eas6iHimuZNJ,1,1,8,246.52,8,0.4676%
127,6JM6UQFRy5NLVrj8FuerYMDErVmPXEBN6B3z4JtRgdB5,1,1,5,244.17,5,0.2922%
128,4s26cGGhW2xzQgDajHNyUQsHGYD3LANXhg5WfykG2X2f,1,1,4,241.38,4,0.2338%
129,DRFF5BFjRmHuFdQTFScxndrc86DvrMCmwueRTkMgqtSc,1,1,13,240.50,13,0.7598%
130,FUwWjeJooV9EeCLbrjdg9CxD7eBNBDMtMFRWFNkscwzp,1,1,1,238.61,1,0.0584%
131,5SnrPrLyQosPMnC1tTTA6kX5AtZwtxDyr4kPEnZinLg6,1,1,3,235.35,3,0.1753%
132,5V9zsFPtN2nxoA53Xm6FKbx797NBnBZFxMdr84H1QXNL,1,2,5,233.16,5,0.2922%
133,HxK5pofZFCUo5X9rV1cZPN2LEZdZ7ioUdACEB6YQb9Zc,1,1,3,232.24,3,0.1753%
134,GN355jHUzJYaqJp3z2XR6843HxgFrEbcUvcLmhG57iS5,1,1,1,232.00,1,0.0584%
135,zq7LZN4UBcN5V3VRH5Mrx7yfkSWNvfPJLTHGib265hN,1,1,8,229.54,8,0.4676%
136,5GhXLr84BAvt9kYVsTcrFYBsFPyFfX93FSew2iSVikaZ,1,1,4,227.22,4,0.2338%
137,FM1YCKED2KaqB8Uat8aB1nsffR1vezr7s6FAEieXJgke,1,1,1,225.28,1,0.0584%
138,B4gufwyiziddbhauEGGTA3qi3AkfJwcyXEiMZorBQMgD,1,1,2,220.43,2,0.1169%
139,kkkq36Ho6bUf5fShgL1z7hQZ9dkc7jrdwVTdke2CBHz,1,1,3,218.00,3,0.1753%
140,hEdBa1RU9ogU56pocVQEFmmwUFS8LK9CVftecuC12EE,1,1,8,216.56,8,0.4676%
141,sVRPnPvkKtQs8VquirS9raty1feJ7Yz8Q8dTA7SUVJ1,1,1,1,213.14,1,0.0584%
142,9rZ8jJ9ByxVxY2T6euVhJGfrNq9xNJt6e8v6MQJyL8q7,1,1,3,211.41,3,0.1753%
143,iMfwWHtqH4288eAd1oeNv9Q7GMW7RdgdHUQAfRL2ZKs,1,1,4,207.31,4,0.2338%
144,4FBGhd3H9Vk3ZyZhAkPwstBk5svsvvf4q9DvP7VdvFDq,1,1,2,206.63,2,0.1169%
145,DrF1oovwx4Z8t3y5i1F8UYRLJEezephkSyDJhw1n15jd,1,1,3,206.47,3,0.1753%
146,DoAsxPQgiyAxyaJNvpAAUb2ups6rbJRdYrCPyWxwRxBb,1,15,27,205.64,27,1.5780%
147,ChUT8hDdrWCUw7EyC59ZzxpBcXoRG6CuCWr5wEPSuUfj,1,1,2,205.08,2,0.1169%
148,8GGXecjzWuxt6HpTZ9HfXCnPHKXq2SEjRVWAHdnLnafs,1,1,8,204.81,8,0.4676%
149,AH7WrrZTFPKTde6K4x6xSuZyUu1F96LmvZdzNzg5aEyR,1,1,1,204.16,1,0.0584%
150,jHtGznWGEkWy3dQEfyyaKBrnZYVexVowU8iB5cauGLU,1,1,5,203.17,5,0.2922%
151,94aWJYrTzNNmWr1QfycEo4PBnP57nkzf4T3XEuTXyVZP,1,1,1,201.58,1,0.0584%
152,DTvi6ARgZw5ubRxfZgLs3PQKqXchB5UtU8DZibEThBgb,1,1,3,195.00,3,0.1753%
153,CeZa4cFWfCccbab3XRqsf8rDhePuEj9SQxTV5U54Q3fb,1,1,19,194.37,19,1.1105%
154,B2fxckXbdqWDE6hWoyfsFaVZygywTbdyusz4o3YY1o7W,1,1,8,191.49,8,0.4676%
155,BPtU3notPXFCQNfi9DyvmkT4YxMneaYvCpXcCiiWTHKB,1,1,1,187.60,1,0.0584%
156,gWtV7EgxV66CjHVrjyjxciGdRoCj26h3wm56CRMnond,1,1,2,186.78,2,0.1169%
157,4k5UYinbV1p6hHhoAw4HqpoP81qfrQRDLurjjYMCNkPp,1,1,2,184.89,2,0.1169%
158,J1BDJEdvTmmcjeTMVTHLPaaNvuQ3mdxeuWEM1YyMksLy,1,3,3,184.10,3,0.1753%
159,3EC1bZ8WrRSssBGB1mq7i3xuu7wdJCYeianitfUj14un,1,1,8,182.86,8,0.4676%
160,EuLpPqnrJQATMvN1NBQEQhsrRgn4wmFzcPxPgJEsjEm4,1,1,1,181.68,1,0.0584%
161,GbgdsquZQc1VMzisUmEJG9yLEjM7UNN1aL1mCoTRFqQE,1,1,1,179.54,1,0.0584%
162,DydmcWnqy232TegXpzrhapVyyev1yEHQZmVzgb4wzbBi,1,1,3,178.85,3,0.1753%
163,8PJnWAff7dWcx2hU9dLjhLw8UGxjGjj15NwjhoZy1972,1,1,1,178.22,1,0.0584%
164,95hYVs8eFeAab8QXmKBV4Bhi9Hn9G2ajMu3dY4ha4xbx,1,1,8,175.67,8,0.4676%
165,4zY8voHUtZ9PFoF6vEtSs1tWDXJ1W2YxWhRxgDVSaSMh,1,1,3,175.16,3,0.1753%
166,5NvDPRd4kk9YpyiuVCndAZbJd5RLmEkm7xb5ykt3j6Fd,1,1,3,174.88,3,0.1753%
167,HyYNVYmnFmi87NsQqWzLJhUTPBKQUfgfhdbBa554nMFF,1,1,2,174.32,2,0.1169%
168,7y2Y5TavdtK3ERNS51YXQWN17LbdGKuf7RdStNFzrf3N,1,1,8,173.44,8,0.4676%
169,2p1fS4uHzmyR5yJhFFzYERcxc2xpzbcZDaSuJW92ECcc,1,1,3,173.14,3,0.1753%
170,7i6sL8w947uRJu1w25JiGhLtiSaVSskA72QBGHiFcAnV,1,1,1,172.61,1,0.0584%
171,GQuYeHtnD9sRqYrNrUBPrWKyFAg8iv65wH5tokwUzX4t,1,2,2,172.50,2,0.1169%
172,CzSeAUey5fiRzHGczcz2a3aiHpXe23QnXGa2oQ9wywEb,1,1,3,171.98,3,0.1753%
173,GWijaqXcMx9onQMSB4C9Ajc5LpQ69xg8yB9pYtJCHM5,1,1,1,171.00,1,0.0584%
174,GSPznEzKMovh7YWfrSPe8YAL3MQ5cZZdnMpzsoR35phP,1,1,2,170.44,2,0.1169%
175,Biw4eeaiYYYq6xSqEd7GzdwsrrndxA8mqdxfAtG3PTUU,1,3,3,169.41,3,0.1753%
176,AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,1,5,7,168.84,7,0.4091%
177,2FkZsBcbQ8gpw1UGwPjcwusseRFcLoc4TFdTW6D2p76a,1,1,2,167.73,2,0.1169%
178,CCvcpaUrE4Ev24MtNPE7VfKJQhSVKYBK2V4DfryoVzJf,1,1,2,167.28,2,0.1169%
179,921Xu3spQAvZYavMT5ea1GyghUuu5bz4o38d6uMymzBw,1,1,13,166.74,13,0.7598%
180,AAm9XmoGsmaPQoFVh65UUdb8MXqt71mQ6NAs5TBnuCMZ,1,1,6,166.02,6,0.3507%
181,BUR4f8GKVEonrw91vMrA2vFd13hwNJf6SuUiMRHKXCW9,1,1,3,163.80,3,0.1753%
182,rapidXMVLw5uBieKHDGvF9k4xSSDXyD2FC5wLTAajaJ,1,6,36,163.78,36,2.1040%
183,6Siu5R8vGtcUwryuEyFJhKdFzHa2P2ogBK719Bmqpwsc,1,1,3,162.90,3,0.1753%
184,Ajvy5g4vsmLPLGDsJgcp8HTLweUbykh2RY2DQGxDuBuk,1,1,7,161.98,7,0.4091%
185,3WMd3jD8J3Rti8RXdxVYRnwRjyzL81TPieSQAq7uhkGQ,1,1,1,161.66,1,0.0584%
186,DwTLbFavxYCiJYwKj49LgVRLUw6RN9xgrsZZLaoffeWZ,1,1,8,160.00,8,0.4676%
187,6sRLyS6Eo8DNfwMmHLPYYNP32u4P2QcdBQcR3q4T8RgC,1,1,2,158.47,2,0.1169%
188,9PeiXNH4tBvCncqGP7Y2CpFsLuRRDLvhQ63Ghr2HqG3T,1,1,2,158.47,2,0.1169%
189,DztRvGwRM56ZwShCq6jEksxRcritV9TX2v7kKWFdKQhJ,1,1,2,157.67,2,0.1169%
190,5qWge4zUyQenk53EhAAQ5yP4LWxuvdqJpRBZZbGd4tv9,1,1,1,157.67,1,0.0584%
191,BvPfX8pa1NW9ttx8KZmEfQX1cyuJbzDKXQDb1mtXh3Va,1,1,2,156.89,2,0.1169%
192,DvkQHVirNi4bE19LejQaM4YpzfG7LWFC71wNo9LHDPXE,1,1,2,156.64,2,0.1169%
193,3bWkxCykcagB3UkAygWVRYHy67DfySv3yqoL8po1qXiE,1,1,13,156.06,13,0.7598%
194,7SFvMJirDat6HE6GevGLZxbDmcP1BCBHqtsNRL36eNec,1,1,8,154.19,8,0.4676%
195,FYkeYxArxWrBT58GZPukzYbpYjniVPrxBL9LgQJ8zMEj,1,1,3,152.82,3,0.1753%
196,EmEcWxjfzx3LfyE3vMQNf1pu9Qxnrwx6PfWcyKwbu8NC,1,2,4,149.93,4,0.2338%
197,5ns48kTrqoASymtXhCU6NVMgan1SZTW7ZJj9YT1PLNuo,1,1,2,149.80,2,0.1169%
198,3gJ3ui9XLVYmTniwTt9sp66bCDwBgXnN5fX5M6ZbioiK,1,1,2,149.67,2,0.1169%
199,7KcrA49WeiXgoGmUbr1eHgSmKf8RUdz7qFXvG2VyqC26,1,1,2,149.22,2,0.1169%
200,AobVSwdW9BbpMdJvTqeCN4hPAmh4rHm7vwLnQ5ATSyrS,1,10,10,148.25,10,0.5845%
201,7xfFuu1fehRhu8vhhxbepjkYhoaN2gWdatkYESnguZ6X,1,1,8,147.59,8,0.4676%
202,AS25HYWuQ5c8wgD8VTpjt5oi5vYErm1R46XGr3a2i535,1,1,2,147.04,2,0.1169%
203,CsAhsA7xXpRYcEWv5rietL1TuipGbvpLu5Z6dN8CKkHM,1,1,3,147.00,3,0.1753%
204,61FYLTWtmsWno9xFF4xon9MijhDd5UDi9X578yzutXfS,1,1,1,146.88,1,0.0584%
205,LH15wXuD8TfXNVeNjsUGgsfW5WoSgvvL4muNvkRsxD4,1,1,2,146.48,2,0.1169%
206,BHjAyr3CPjKTkMAAc3VWGQB5cMPquPyGWhxcUU5QM5hk,1,1,7,141.56,7,0.4091%
207,HsuDH1wUBPE5Mg6bxkkUBKg49BEmYm1Dhiy3N8Zpq6KC,1,1,1,141.49,1,0.0584%
208,6JYuZY1tznHnYbEkY4UntQeSkGSkgS3DmDKEnGSwrrqE,1,1,1,141.33,1,0.0584%
209,7PVsvar9HGoB3oShQ79czajvkY5TfAVpaebVb3hgstzd,1,1,2,140.00,2,0.1169%
210,HSbWJ1APT7J3ivAH7itHQZ9Zxib2icUQhA2B4hjGB1kU,1,1,2,140.00,2,0.1169%
211,u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,1,6,7,138.97,7,0.4091%
212,GnVBX1m4nipB1xm3zU7ErocVd8zaCzb6NFozH7kN51Jz,1,1,1,138.49,1,0.0584%
213,GwGKT7FjopqpwFjQBb15LgpJSxZxhEECBvvme7WVCbZa,1,1,4,138.35,4,0.2338%
214,5HQZd9ovzAF1TLnHRAq1zcSnXC9HAp3EwhoxMHvo8rxB,1,5,9,138.23,9,0.5260%
215,3SXX6Ur6uJWqUAn2Sgj2QVfMfTZ3xVXK25E3gfBDB3b9,1,1,1,137.89,1,0.0584%
216,2KTL97N7n5eu2G2vbUekT4T1yXUc5t2AYGh64ivaUipw,1,1,2,137.04,2,0.1169%
217,BBAugeiE7RPaQWd5R96mEw9nCGRJU9Tz5Lbn1mTwTm73,1,1,3,134.87,3,0.1753%
218,GPTDaxZqN28xjYAHN1kcjkfVa5x8dEYT5o3RszheNt27,1,1,3,133.91,3,0.1753%
219,Cv8LFMeHL84xYmtxGuJM3frwP1Gw4Nkh3Hp5iDwRMPKZ,1,1,1,133.50,1,0.0584%
220,9HVZgJjcUqUJ96gCuF1jP2Pkz7tFudZRpV29YydtnvYi,1,1,1,132.20,1,0.0584%
221,HRw7NE8ERt5Av3cH4BRMLG5j7gRmrMUgtGLeoXzKa3M4,1,1,2,132.06,2,0.1169%
222,CaSKRpdcENntQcLrKbtCBkQ5rEPMb1DHUk5H3YYZAUdY,1,1,1,129.41,1,0.0584%
