Rank,Sender Address,Funders Funded,Creators Funded,Total Tokens Launched,SOL Sent,Tokens Created,% of Total Tokens
16431,EVCs6VLDCTmpMbzu2A1Af23rk6bpMoDfRu8TMCvQsL9U,1,1,2,0.01,2,0.1169%
16432,EVugqi5ceXiWXoVfkG9y738okmgg2YWBqN1wPfTx7xXR,1,1,4,0.01,4,0.2338%
16433,EW3kHHWTaaVs3jpFq5HckCz8mEdKzFwZ88CxnNnyrxD5,1,1,2,0.01,2,0.1169%
16434,EWaKZAJr6nwBDQ5rXBQC1VNZ64WmzbBTQ7b1QdALvYUe,1,1,4,0.01,4,0.2338%
16435,EWzrj9NrhCC1RVkj1HiuixD7fXyTVBorBG4uR1Wm7L63,1,1,2,0.01,2,0.1169%
16436,EXQ1P7KuNfaDU6P8E5VwJCr9qhSefPXQetgsVe8mGBQ9,1,1,2,0.01,2,0.1169%
16437,EXTGP5gSWoq7eNhYw6u2YZvU3ovWk3QpFZCRrsRi46ML,1,1,4,0.01,4,0.2338%
16438,EXbAhfBfYtffMZFFjkdSrGSAX4xSTy9FUFnazmwQUpJH,1,1,2,0.01,2,0.1169%
16439,EXjWR4rZDdNBjewX2fKinCmmuLSZpLc9bgKNWXbspPUT,1,1,4,0.01,4,0.2338%
16440,EZCzzEMG966yJtCJLKu1sjK9BLq4ymt4qZiuWXZbgAs1,1,1,2,0.01,2,0.1169%
16441,EZMfzDSnWqP8rkUyCX2XUFoULznwxkSyrtidXqUkxXcZ,1,1,2,0.01,2,0.1169%
16442,EZTSeVLUsHVFJNdmxacawNUzMFDwFPGSuqrQ52YV9Kpr,1,1,4,0.01,4,0.2338%
16443,EZWUWVgZRgCw6ocXFAekrkD4CNhAi2jBx9Vtsvrrs2Mw,1,1,2,0.01,2,0.1169%
16444,Ea6pTBgaxYSAiUT35WXSm7Y4RmBbN4kkBDNzEGmq9GRY,1,1,2,0.01,2,0.1169%
16445,EbHMr8J5eLxNqFE7UYiXEWWDzEQxiuT5wMj7MuTH343f,1,1,2,0.01,2,0.1169%
16446,EbyFEQaEYbH9C815gF3FvRTm6KFmJi9mdFBEVYXgfyT8,1,1,4,0.01,4,0.2338%
16447,EcYV5xqE1iChHNzxH4hSmcDbkr17nkSViUtbpGHUxdE6,1,1,2,0.01,2,0.1169%
16448,EcfppiviahV6kzZo6YbLmoduE7gSVnZLYDxFBz4FPrnj,1,1,1,0.01,1,0.0584%
16449,EcgtMh6kFLueBAYed19ayb4ktdTfF1Sz4L43WdnwVdoR,1,1,4,0.01,4,0.2338%
16450,EcymnfyKQh9jY2wJU3McKR2owG1Buk9NYJzoWa97RydR,1,1,2,0.01,2,0.1169%
16451,EeDiHncSZ7yu9GkiutnEiGPvmXsWxkcBDGwhuMWBhVJH,1,1,2,0.01,2,0.1169%
16452,EeTPR2xoLEAvSfoR3JFUKxgMTA8y2xA5Xa36bW9uYZpa,1,1,2,0.01,2,0.1169%
16453,Eedoj7ZVgQPYg25KqGoJEu6gTqiWV3LEHBXkMZqcuQQq,1,1,4,0.01,4,0.2338%
16454,EeiK6d1Pbk8aq26VaMFzxPjfJ9ukmJVecyWvRAiPDXra,1,1,2,0.01,2,0.1169%
16455,EermZy3rEGQPsupDGUUU5AmNuQDJcLbHZDftKRzMxrC7,1,1,2,0.01,2,0.1169%
16456,EerphoT8KQT5VM3ASexnvdRv3Zzek2231tG32hQ1ZqJ7,1,1,2,0.01,2,0.1169%
16457,EfTn7xNjdgP3HCiZZxGQJK61oWgXE3bHzPERHzo52BM8,1,1,2,0.01,2,0.1169%
16458,EgBYRc3pA6vrbE2zsCaMqPG9UMcMP2whmV9H7tvsLYX5,1,1,2,0.01,2,0.1169%
16459,EhQMs2w6Y1KUaKwsV7Poxh6zveNgnYiUuy7b1ixoYmwZ,1,1,2,0.01,2,0.1169%
16460,EiRcii4fp1tNgvSiiXYmq6h8aMaiK2YX995kdnujWKKM,1,1,2,0.01,2,0.1169%
16461,EiokNWpLWJWRkiWEcy89m6ruWonkNfsbDXtJ9sM2jnGc,1,1,2,0.01,2,0.1169%
16462,EiyQwKKpfbERfgWTzL15kwNiQD1adwQCuZ7hvovbYH61,1,1,2,0.01,2,0.1169%
16463,EjSCQgwHRUwbevUMSM8jBE6ajGW5EueSSHK8f39Ke1Rp,1,1,4,0.01,4,0.2338%
16464,EkcL8QwYGyzChLJkbsNqR3qZTUSrEve6kY75hbW2KAz8,1,1,2,0.01,2,0.1169%
16465,EkwyGYruRGDesuZ44ceBmLoyeGdbjPj2eJJQuTMqyFSc,1,1,2,0.01,2,0.1169%
16466,EmP3AwN6oxXU1rxndS12CeWmZLzJABcZuosr8VzkCDbf,1,1,1,0.01,1,0.0584%
16467,EmUA1sqhnWkqFXVCXwHkGPSsnT4UZu8NWyUeTHE1B45L,1,1,2,0.01,2,0.1169%
16468,EnBwFnbAc1j4umaj4B36ppkcMYdPD9HbSUH22axoXie3,1,1,2,0.01,2,0.1169%
16469,EnKrZgZM3G3PtPUiA8wGDEY6hzDNVYGq4HXp74bcusoW,1,1,4,0.01,4,0.2338%
16470,Enqt6gJW5fEPmF9CGT9KVCBra2ogk7Z5ZCwMiaV3G3EU,1,1,2,0.01,2,0.1169%
16471,EpSpwBAXrY83L2snVEjQSXSg7gxioDad2cGRHiEJLUZn,1,1,2,0.01,2,0.1169%
16472,EpsvgKSvicYTrps9LqKZ6wCdtkUHDB3FD8eynmcqQKCb,1,1,2,0.01,2,0.1169%
16473,Eq6kNmPnGLKG8rKKc9QKLwvUqUnfTBV6w16oNnqZZZEY,1,1,4,0.01,4,0.2338%
16474,EqrXkYuNT7QpWuwHbnRJwm41sLJwuTKJp5MmhbXxFu3x,1,1,2,0.01,2,0.1169%
16475,EqysUbmM1igjLAbNuw9dGaHCTkqwwQ3P9gJRpizDMj6V,1,1,2,0.01,2,0.1169%
16476,ErGPjgLKoRmB3M8cfuKHKKUaS9irrp1vYVzenB3rZCx,1,1,2,0.01,2,0.1169%
16477,Erk4jDJbG1gd89cZdtBHfHWjHgiS371aQY39GdCtTDtn,1,1,2,0.01,2,0.1169%
