mint,rug_indicator,risk_level,Risk Score %,Peak MC,Current MC,Peak Price,Current Price,events_parsed,created_at,analyzed_at,migration_tx,pool_address
8F8UEEgZ4RDVV4v68bWJA2XvzPRBk4nTazXTtg4Jpump,quick_peak_low_mc,HIGH,71.9,85552.87,3609.0,8.555e-05,3.61e-06,478,2026-01-17 00:48:18,1768610898.7516239,3myaXqKsFWVVPBjo5Jna5SbnY2XbtvsAuqvymUMztocP7nwrFN7KP7bGib4RAxtagnYfqHCUUFoFY7Ue5qZUZqot,7dkuo9RkFMf4J94vXWtSdJRYNT4eNwg28Y4tfCzkcKCx
F2zCG9DvBUAic3RLnji9bKh5k5a91qLvnErbYKi9pump,,MEDIUM,63.3,85188.26,4403.16,8.519e-05,4.4e-06,1223,2026-01-19 03:49:03,1768794543.755702,3fmqGLe3WnjoSXqN8y2phXMB5XAKND5kxX3gPx8Nhm3wCxmPTqkmW1CB13FHcbCeuNiQXQhBDraRXFFRyGxRJPxm,CU796feCMsK38eTPkDkacCh9AaEJv64UZSQu1ZwqUP7p
CAbxpKaTqHz29sNGzMAAswyj7C1972wbrzVETXv8pump,quick_peak_low_mc,MEDIUM,59.4,84142.86,2889.0,8.414e-05,2.89e-06,1232,2026-01-18 01:00:19,1768698019.370226,2auoDe5P4nXFcbNMcGAv4XrCQ114hon8i79dVPBjxnkpYLTmQCgkaK3sZX9heHyWPTQtUnE35wFKWrH6wMk6UScm,3BXaEemxpHiqbrze3m2NEZXvME2qH2iNVdjPCHL3m3Af
ovJjdAjPyHBfZAiGx46DMR53sSjS9CHe1pjkNjrpump,quick_peak_low_mc,MEDIUM,47.8,80947.62,3017.0,8.095e-05,3.02e-06,1118,2026-01-16 22:16:10,1768601770.149864,2GgSpaxr7acV1TXMBEnaegzUwjTq9YnhQuCvJvjcPKvjkZN6x8a8Jm1jDSWyEvZNB2C4iVYzAJSiyp851xZ5FUJu,FfNjzW42HD2kRzCCph85ddzR1kWRxM1R4HkgQriM9YsA
2qA1K9ygUHvYj9hVhWDDw1AwzZP8E65ijGjhGoPMpump,,MEDIUM,51.4,80315.43,6138.0,8.032e-05,6.14e-06,1384,2026-01-19 01:45:45,1768787145.7385778,4WZCHkcF867fh5pmSDWZQZiUsCr5WmeyRV5hGriGCLePdzM7iVbQHzYJMxq71x7BwPiByg6F8g4EecC91JxdmRq5,7fcaKa4k4Qvk2euvWr3Vq5aBwuo2P26PKbDZVeLM6VSu
GV3zsDREuXiEeSzqmWuwpRGkCnRnRdcjZqPPeaXtpump,quick_peak_low_mc,MEDIUM,55.0,80092.81,2385.22,8.009e-05,2.39e-06,26,2026-01-16 22:23:37,1768602217.33742,RhZbAzzbwfKXXPStBCzyyQ3oGS9DxMivtsPsoAw2KWXayroByQa9QQjg5VcWUJmMNiondDD2deSooo9aVXZFdVm,FdC337aKuFHuBb5nptwVs7v9S4bXJhFfPPEDwtbKerFj
cYpvLMFNVDyDfwT5nbKpVZtf6GntazvTwxGTRAfpump,,MEDIUM,58.9,76530.1,2383.0,7.653e-05,2.38e-06,320,2026-01-19 03:49:25,1768794565.364096,4Q46oPKZtJNQ91bwVt9LNR1vhd9xTBB5v3vykxruA7HcnjBAcXq9LYu3kNEXiAzqDgbC9X57DKZpSxiftqszrCeg,EwNtDdbKxjXmmt561Q4azrkGXYJdk7jUURVMBXXXBere
C7ph6fmVQfF3Vin4769mhPLFTB4vmQ2sRgqsqrrdpump,quick_peak_low_mc,MEDIUM,51.7,75066.29,2425.59,7.507e-05,2.43e-06,1264,2026-01-17 01:45:23,1768614323.9286,3DAz87aR1V9ANhXWrpQMeA4otnCQiwW1Yiy6Stqbca9W913KYS5cNMMmJkxjjH4KupvaUtk3us5BcrofY86R12Ji,4FCsYZyKLpqUxpfPzS4n1mu87tF8LVmyhe3aQEvgw7oF
D9Af8b45MTya9vPYh5u1K4AYEdia4A4AfoJ7KFBpump,quick_peak_low_mc,MEDIUM,67.9,72464.0,2806.0,7.246e-05,2.81e-06,336,2026-01-16 19:05:05,1768590305.868706,LmXHXeUR8d8MFBsrX5gxr18XGHfWMrcfgobenzwmh4ovz2cmTdc7RUJMcMo7WCojReGnjQvrr5HRBaKthJr3f6M,A5fyjnYzYeq84rRSPkgQQBgzedNaiGZ4XYB25AoHhPqm
Ft7SDd5ET1kvTq5MgiWzSR1QRwHWDsjFPhAbPPJPpump,quick_peak_low_mc,MEDIUM,42.5,71739.59,15733.72,7.174e-05,1.573e-05,1560,2026-01-17 01:53:53,1768614833.6204429,5s7i7kNzRxhDzmhsuUmJ8g2fHA7knjYfWmqyntJTX1J9t91zLAZDwKtRH98Qmisd1CehjbYkVQUnoSPLD1scGrsA,7KvR4N7pZHtVk5MwPFxwGEuoXrdCsdVCnXf7ao47z5s4
